IDs         length   Exptl.  resolution  R-factor FreeRvalue
2F9ZC       159      XRAY        2.400    0.21    0.28
4RT5A       114      XRAY        1.500    0.15    0.18
2XFVA       125      XRAY        1.900    0.17    0.20
4YFEA       200      XRAY        1.970    0.20    0.22
2J91A       503      XRAY        1.800    0.16    0.20
1NRWA       288      XRAY        1.700    0.20    0.22
4R29A       224      XRAY        2.310    0.20    0.23
3BWUF       142      XRAY        1.760    0.17    0.21
5KVRA        77      XRAY        1.360    0.18    0.21
3FIDA       296      XRAY        1.900    0.19    0.23
4NOCA       151      XRAY        2.300    0.20    0.24
4QPWA       142      XRAY        1.140    0.16    0.18
3P9VA       161      XRAY        1.780    0.20    0.24
1DBWA       126      XRAY        1.600    0.19    0.22
5LY8A       247      XRAY        1.280    0.18    0.20
2ATRA       138      XRAY        2.010    0.27    0.28
4AGRA       146      XRAY        2.100    0.21    0.28
1B6GA       310      XRAY        1.150    0.10    0.14
3QTAA       233      XRAY        2.000    0.18    0.20
1UJ2A       252      XRAY        1.800    0.19    0.22
5CE6A       480      XRAY        1.700    0.18    0.21
1M15A       357      XRAY        1.200    0.12    0.14
2OIXA       186      XRAY        1.800    0.21    0.26
1G8AA       227      XRAY        1.400    0.20    0.22
5EZ7A       392      XRAY        2.400    0.18    0.23
5J41A       209      XRAY        1.190    0.16    0.19
3VHLA       288      XRAY        2.080    0.18    0.23
4G59C       321      XRAY        2.440    0.20    0.24
3FZQA       274      XRAY        2.100    0.19    0.23
3F6GA       127      XRAY        2.000    0.23    0.26
3ONDA       488      XRAY        1.170    0.13    0.16
5D88A       254      XRAY        1.660    0.13    0.15
1B63A       333      XRAY        1.900    0.21    0.26
5M5ZA       757      XRAY        1.250    0.12    0.14
4R80A        85      XRAY        2.440    0.22    0.26
3F6CA       134      XRAY        1.450    0.21    0.26
4I5PA       308      XRAY        1.740    0.22    0.27
5BY5A       146      XRAY        1.200    0.12    0.15
5DC8A       389      XRAY        1.300    0.13    0.15
4RHWE       108      XRAY        2.100    0.21    0.23
5D01A       379      XRAY        2.020    0.20    0.25
5COFA       173      XRAY        1.350    0.12    0.14
3B0DC        76      XRAY        2.200    0.21    0.26
2OD5A       116      XRAY        1.790    0.19    0.21
4V15A       379      XRAY        1.500    0.15    0.18
5J8RA       311      XRAY        2.040    0.24    0.28
2WYQA        85      XRAY        1.650    0.13    0.16
5IW9A       131      XRAY        2.470    0.19    0.22
1K78A       149      XRAY        2.250    0.23    0.26
3KB2A       173      XRAY        2.200    0.20    0.26
4DVCA       184      XRAY        1.200    0.12    0.14
2FCWB        80      XRAY        1.260    0.15    0.20
3NWRA       432      XRAY        1.500    0.17    0.19
2FG9A       178      XRAY        2.200    0.22    0.24
1POCA       134      XRAY        2.000    0.19    1.00
5IAIA       422      XRAY        1.600    0.17    0.19
1PBWA       216      XRAY        2.000    0.18    0.23
1GNLA       544      XRAY        1.250    0.13    0.14
1RHFA       182      XRAY        1.960    0.21    0.26
2QDFA       335      XRAY        2.200    0.27    0.29
2BOUA       143      XRAY        1.900    0.24    0.26
4RD8A       241      XRAY        1.720    0.17    0.20
5JZEB        76      XRAY        2.470    0.18    0.23
5A0JA       342      XRAY        2.360    0.22    0.25
4RXXA       430      XRAY        2.060    0.19    0.24
1SAZA       381      XRAY        2.500    0.22    0.27
4N6TA        79      XRAY        1.750    0.20    0.23
4ME2A       257      XRAY        1.600    0.21    0.24
4Z3XE       179      XRAY        1.850    0.19    0.23
3LPWA       197      XRAY        1.650    0.18    0.21
1R9WA       145      XRAY        1.800    0.21    0.22
2G8LA       299      XRAY        2.040    0.15    0.18
1FP2A       352      XRAY        1.400    0.23    0.23
3HR6A       436      XRAY        1.600    0.19    0.22
3SXMA       140      XRAY        1.550    0.17    0.19
5HALA       115      XRAY        2.150    0.16    0.19
3ZTHA       350      XRAY        2.400    0.20    0.24
2DOKA       186      XRAY        1.800    0.21    0.25
4YBBAU       56      XRAY        2.100    0.22    0.23
1XFSA       178      XRAY        1.700    0.22    0.26
5H9XA       444      XRAY        1.910    0.20    0.22
1QUSA       322      XRAY        1.700    0.18    0.21
2QTVD        49      XRAY        2.500    0.21    0.26
1ZAVA       180      XRAY        1.900    0.24    0.27
5LJMA       215      XRAY        1.450    0.18    0.23
1TEDA       393      XRAY        2.250    0.20    0.27
4FZ4A       154      XRAY        2.440    0.26    0.26
4QQSA       315      XRAY        1.100    0.12    0.14
2QIWA       255      XRAY        1.800    0.14    0.17
4ZSIA       171      XRAY        1.650    0.19    0.23
5HSTA       303      XRAY        2.100    0.19    0.23
4JG4A       119      XRAY        2.300    0.22    0.25
2RBCA       343      XRAY        1.900    0.19    0.23
3IDWA        72      XRAY        1.850    0.20    0.22
4GMOA       684      XRAY        2.100    0.22    0.26
4J37A       336      XRAY        1.750    0.20    0.24
2Q4XA       221      XRAY        2.100    0.14    0.23
3F5HA        68      XRAY        1.750    0.20    0.25
1UXYA       340      XRAY        1.800    0.20    0.25
2CCMA       191      XRAY        1.800    0.19    0.25
3QHBA       179      XRAY        1.200    0.10    0.12
5TZ5A       296      XRAY        1.430    0.19    0.21
4O1RA       142      XRAY        1.400    0.16    0.19
1WN2A       121      XRAY        1.200    0.19    0.21
5NIRA        74      XRAY        1.740    0.21    0.23
5GJKB        68      XRAY        2.050    0.20    0.21
3SG0A       386      XRAY        1.200    0.15    0.16
1V18B        47      XRAY        2.100    0.21    0.25
2XG5B       173      XRAY        2.000    0.19    0.21
5CH8A       279      XRAY        1.620    0.14    0.17
4U0OB       296      XRAY        1.600    0.20    0.24
5NWPA       203      XRAY        1.050    0.12    0.14
3ANPA       204      XRAY        1.950    0.21    0.24
4ACVA       129      XRAY        2.400    0.19    0.23
1H99A       224      XRAY        1.550    0.22    0.24
3HDGA       137      XRAY        2.270    0.22    0.27
3FEFA       450      XRAY        2.200    0.19    0.24
1BD8A       156      XRAY        1.800    0.19    0.26
3RVCA       152      XRAY        1.800    0.20    0.24
4DYQA       140      XRAY        1.500    0.18    0.20
4I1FA       325      XRAY        1.580    0.21    0.24
3CNQP        80      XRAY        1.710    0.20    0.23
3D8DA       148      XRAY        2.200    0.20    0.25
5J1SA       284      XRAY        1.400    0.14    0.19
4M73A       337      XRAY        2.000    0.15    0.21
3G0TA       437      XRAY        1.750    0.14    0.17
3TM0A       263      XRAY        2.100    0.18    0.22
4COGA       215      XRAY        1.600    0.15    0.18
5HEAA       296      XRAY        2.000    0.17    0.22
5DLBA       315      XRAY        1.770    0.21    0.24
3NCTA       144      XRAY        2.200    0.19    0.21
3G27A        96      XRAY        2.100    0.19    0.25
1NZ0A       118      XRAY        1.200    0.16    0.22
3HXLA       446      XRAY        1.900    0.19    0.23
1H09A       338      XRAY        2.100    0.21    0.26
1MZEA       351      XRAY        2.200    0.22    0.24
1OHEA       348      XRAY        2.200    0.21    0.25
3GNLA       244      XRAY        1.500    0.20    0.22
2Z0RA       103      XRAY        2.300    0.23    0.28
4L05A       154      XRAY        1.100    0.11    0.12
1HW7A       255      XRAY        2.200    0.23    0.26
4QDJA       238      XRAY        1.600    0.14    0.18
3GIRA       393      XRAY        1.600    0.18    0.20
3EZ0A       225      XRAY        2.330    0.21    0.26
4PONA       200      XRAY        1.900    0.20    0.24
3WMIA        57      XRAY        1.900    0.18    0.23
2IGIA       180      XRAY        1.700    0.18    0.20
2Z86A       625      XRAY        2.400    0.23    0.29
4WVRA       102      XRAY        1.950    0.18    0.22
4FDWA       401      XRAY        2.050    0.18    0.22
2FGTA       417      XRAY        2.300    0.26    0.30
3P9YA       198      XRAY        2.100    0.21    0.24
3B8OA       265      XRAY        2.400    0.23    0.27
3QW9A       176      XRAY        2.000    0.19    0.24
3EYYA       145      XRAY        2.400    0.22    0.26
4ML7B        99      XRAY        1.800    0.19    0.22
4P1MA       123      XRAY        1.950    0.23    0.27
3U81A       221      XRAY        1.130    0.14    0.16
3U4TA       272      XRAY        2.280    0.24    0.26
3C3YA       237      XRAY        1.370    0.19    0.22
5EIPA       134      XRAY        1.490    0.20    0.23
2Q02A       272      XRAY        2.400    0.19    0.23
4LJOA       223      XRAY        1.560    0.18    0.21
1H6GA       256      XRAY        2.200    0.19    0.26
3GRNA       153      XRAY        1.700    0.21    0.25
1HX3A       190      XRAY        2.100    0.21    0.25
3TD9A       366      XRAY        1.900    0.15    0.19
4YFJA       182      XRAY        2.200    0.18    0.24
1QI9A       556      XRAY        2.050    0.17    0.22
4ZR7A       126      XRAY        1.860    0.18    0.24
4HFSA       212      XRAY        1.550    0.19    0.22
2I7RA       118      XRAY        2.200    0.20    0.26
3FSGA       272      XRAY        2.000    0.18    0.23
4XFJA       408      XRAY        1.550    0.14    0.18
1HTWA       158      XRAY        1.700    0.20    0.23
3MQ2A       218      XRAY        1.690    0.18    0.21
5T1IA        68      XRAY        1.600    0.20    0.24
2F01A       127      XRAY        0.850    0.15    0.17
5LTPA       271      XRAY        1.700    0.19    0.21
4YECA       126      XRAY        1.120    0.16    0.19
3G02A       408      XRAY        1.500    0.18    0.20
4A4YA       146      XRAY        1.570    0.18    0.20
5ANPA       277      XRAY        1.400    0.18    0.19
2J3TC       145      XRAY        2.400    0.21    0.25
3F0HA       376      XRAY        1.700    0.15    0.17
5TKWA       237      XRAY        1.350    0.15    0.18
2WY8Q        80      XRAY        1.700    0.17    0.20
5BRLA       210      XRAY        2.000    0.19    0.23
5TC4A       316      XRAY        1.890    0.17    0.21
4XXHA       255      XRAY        2.400    0.15    0.17
4P04A       571      XRAY        1.950    0.16    0.17
2RHWA       283      XRAY        1.570    0.17    0.20
1VQSA       116      XRAY        1.500    0.15    0.18
4GC1A       276      XRAY        2.080    0.16    0.20
3CEGA       323      XRAY        2.010    0.21    0.25
2C07A       285      XRAY        1.500    0.20    0.22
3D9RA       135      XRAY        2.400    0.18    0.22
2EW2A       316      XRAY        2.000    0.18    0.21
3E7KA        56      XRAY        2.010    0.19    0.25
3HDFA       140      XRAY        1.700    0.20    0.23
3WWQC        44      XRAY        1.900    0.21    0.23
2YH9A        88      XRAY        1.800    0.18    0.23
4NV4A       176      XRAY        1.800    0.17    0.20
1DZFA       215      XRAY        1.900    0.22    0.27
5HSAA       663      XRAY        2.350    0.18    0.20
2OGFA       122      XRAY        1.890    0.17    0.22
4ZI8A       334      XRAY        1.700    0.20    0.24
5JIRA       421      XRAY        1.700    0.19    0.21
3B0FA        53      XRAY        1.400    0.17    0.20
3CNVA       162      XRAY        2.000    0.17    0.22
5MBXA       497      XRAY        1.400    0.18    0.20
5JNPA       128      XRAY        2.400    0.24    0.27
4GHNA       393      XRAY        1.500    0.14    0.17
1RK6A       496      XRAY        1.430    0.19    0.20
4R9OA       301      XRAY        1.950    0.19    0.23
3X0UA       446      XRAY        1.700    0.15    0.18
4BOQA       183      XRAY        1.470    0.17    0.20
3CH0A       272      XRAY        1.500    0.16    0.19
1PYTA        94      XRAY        2.350    0.19    0.28
1EKQA       272      XRAY        1.500    0.22    0.25
4WD8A       297      XRAY        2.300    0.20    0.21
1VPBA       451      XRAY        1.750    0.18    0.20
4WXAD       123      XRAY        2.440    0.23    0.27
4RFAA       226      XRAY        2.210    0.21    0.24
1U2WA       122      XRAY        1.900    0.24    0.26
4OEVA       494      XRAY        1.900    0.20    0.23
2HEKA       371      XRAY        2.000    0.18    0.22
1LY1A       181      XRAY        2.000    0.21    0.23
5FIDA       137      XRAY        1.810    0.17    0.20
5MFAA       697      XRAY        1.200    0.12    0.14
1JEKA        42      XRAY        1.500    0.21    0.27
2E4TA       519      XRAY        0.960    0.13    0.15
4FEKA       262      XRAY        2.000    0.21    0.24
1LUZA        88      XRAY        1.800    0.23    0.26
2O4CA       380      XRAY        2.300    0.23    0.26
3W4SA       273      XRAY        1.780    0.20    0.24
1JE5A       206      XRAY        1.900    0.22    0.27
2WXFA       940      XRAY        1.900    0.21    0.24
4HVYA       162      XRAY        1.460    0.17    0.21
3RMUA       134      XRAY        1.800    0.19    0.24
4L5EA        46      XRAY        1.340    0.18    0.21
4F7UB       118      XRAY        1.900    0.18    0.22
3CBWA       353      XRAY        1.270    0.15    0.17
3DC4A       344      XRAY        1.900    0.23    0.26
3IPIA       295      XRAY        1.900    0.21    0.25
3X37B       133      XRAY        2.350    0.20    0.24
5MN4A       305      XRAY        1.500    0.18    0.21
1VPRA       374      XRAY        1.800    0.20    0.23
3GHDA        70      XRAY        1.810    0.20    0.24
2Q88A       257      XRAY        1.900    0.23    0.25
3RHZA       339      XRAY        1.900    0.18    0.22
2Z7FI        50      XRAY        1.700    0.20    0.23
3M2TA       359      XRAY        2.300    0.18    0.23
4WLHA       422      XRAY        1.280    0.17    0.19
4HG2A       257      XRAY        1.600    0.15    0.18
5SUIA       439      XRAY        1.300    0.13    0.16
1R6WA       322      XRAY        1.620    0.17    0.20
5H9FD       363      XRAY        2.450    0.21    0.23
2A90A       240      XRAY        2.150    0.23    0.25
3EN0A       291      XRAY        1.500    0.16    0.18
